emprunt_id,membre_id,livre_id,titre_livre,categorie,date_emprunt,date_retour,duree_prevue_jours,statut,ville_membre,note_lecteur
90,162,178,Harry Potter,Jeunesse,2024-07-19,2024-08-01,30,rendu,Meknes,
91,531,32,Data Engineering 101 - Tome 5,Informatique,2023-05-21,2023-05-27,7,rendu,Agadir,4.3
92,232,399,L'Empire Ottoman - Tome 1,Histoire,2025-07-20,2025-07-29,30,rendu,Marrakech,
93,110,1145,Ainsi Parlait Zarathoustra,Essai,2023-05-29,2023-06-02,21,rendu,Tanger,
94,589,513,1984,Science-Fiction,2025-06-25,2025-07-20,30,rendu,Fes,
95,795,940,Dune,Science-Fiction,2025-08-01,2025-08-04,7,rendu,Rabat,4.2
96,226,471,Illuminations,Poesie,2024-10-08,2024-10-25,30,rendu,Casablanca,
97,270,509,Ainsi Parlait Zarathoustra,Essai,2024-08-11,2024-08-17,7,rendu,Agadir,4.7
98,488,643,Tintin,BD,2024-12-25,2024-12-30,14,rendu,Marrakech,
99,700,390,Le Monde de Narnia,Jeunesse,2025-10-18,2025-10-22,14,rendu,Tanger,1.8
100,256,730,L'Empire Ottoman - Tome 4,Histoire,2023-11-16,2023-11-26,7,rendu_en_retard,Oujda,
101,783,1109,Le Journal d'un Gars,Jeunesse,2023-03-28,2023-04-08,30,rendu,Oujda,
102,589,563,Tintin,BD,2025-10-02,2025-10-11,14,rendu,Tanger,4.0
103,132,111,L'Art de la Guerre - Tome 4,Essai,2025-12-12,2025-12-30,30,rendu,Casablanca,
104,404,358,Nelson Mandela - Tome 1,Biographie,2025-07-25,2025-07-29,7,rendu,Agadir,
105,13,432,Madame Bovary,Roman,2025-02-16,2025-02-21,7,rendu,Tanger,2.1
106,276,966,Le Contrat Social,Essai,2026-06-09,2026-06-25,21,rendu,Meknes,3.8
107,382,748,La Planete des Singes,Science-Fiction,2025-03-31,2025-04-19,21,rendu,Marrakech,
108,703,469,L'Empire Ottoman,Histoire,2023-07-24,2023-08-11,21,rendu,Meknes,
109,201,299,Tintin,BD,2023-11-03,2023-11-09,30,rendu,Meknes,
110,646,1059,Histoire de l'Islam,Histoire,2025-12-29,2026-01-08,21,rendu,Tanger,
111,582,98,Les Fleurs du Mal - Tome 1,Poesie,2025-03-26,2025-03-27,7,rendu,Fes,
112,488,198,Asterix,BD,2025-07-10,2025-07-22,21,rendu,Tanger,2.6
113,360,408,Alcools,Poesie,2026-03-27,2026-04-01,14,rendu,Agadir,3.0
114,794,916,Le Contrat Social,Essai,2023-06-10,2023-06-25,30,rendu,Marrakech,
115,656,691,La Deuxieme Guerre Mondiale,Histoire,2025-05-13,2025-05-16,30,rendu,Rabat,1.9
116,325,597,Einstein,Biographie,2024-07-01,2024-07-16,30,rendu,Agadir,
117,534,923,Tintin - Tome 5,BD,2025-04-27,2025-04-28,14,rendu,Marrakech,
118,678,516,Odes,Poesie,2023-06-13,2023-06-15,14,rendu,Rabat,4.5
119,562,111,L'Art de la Guerre - Tome 4,Essai,2023-02-23,2023-02-26,30,rendu,Rabat,1.6
120,671,799,Les Fleurs du Mal,Poesie,2024-09-25,2024-09-30,14,rendu,Oujda,
121,135,1079,Data Engineering 101,Informatique,2023-12-16,,7,perdu,Agadir,
122,334,976,Fahrenheit 451,Science-Fiction,2025-08-14,2025-08-19,21,rendu,Marrakech,
123,468,1156,Charlie et la Chocolaterie,Jeunesse,2025-06-09,2025-06-25,21,rendu,Fes,
124,453,631,Ainsi Parlait Zarathoustra,Essai,2025-01-19,2025-01-29,30,rendu,Casablanca,4.3
125,140,705,Ibn Battuta,Biographie,2024-08-10,2024-09-02,30,rendu,Oujda,
126,489,614,Leonard de Vinci,Biographie,2023-01-19,2023-02-08,30,rendu,Fes,
127,562,766,Le Petit Prince,Roman,2024-01-22,2024-02-05,30,rendu,Meknes,3.9
128,662,799,Les Fleurs du Mal,Poesie,2025-02-13,2025-02-20,14,rendu,Fes,
129,628,557,L'Etranger,Roman,2024-08-06,2024-08-09,21,rendu,Marrakech,1.4
130,467,928,Fondation,Science-Fiction,2024-07-11,2024-07-12,30,rendu,Marrakech,3.1
131,191,210,Le Cimetiere Marin,Poesie,2024-07-31,2024-09-05,21,rendu_en_retard,Casablanca,1.6
132,506,445,Introduction a Python - Tome 1,Informatique,2024-12-01,2024-12-27,30,rendu,Oujda,
133,475,65,Alcools - Tome 3,Poesie,2024-11-07,2024-11-09,7,rendu,Casablanca,2.6
134,557,963,Les Fleurs du Mal,Poesie,2024-01-07,2024-01-12,14,rendu,Meknes,
135,125,510,Maigret,Policier,2025-02-27,2025-03-01,30,rendu,Fes,
136,790,193,Discours de la Methode,Essai,2025-12-03,2025-12-14,14,rendu,Tanger,
137,163,87,La Peste,Roman,2026-01-30,2026-02-05,7,rendu,Tanger,4.6
138,683,447,Blake et Mortimer,BD,2023-08-20,2023-08-26,14,rendu,Casablanca,2.1
139,123,811,Einstein,Biographie,2024-05-12,2024-05-17,7,rendu,Oujda,
140,159,761,Nelson Mandela,Biographie,2023-07-03,2023-07-05,14,rendu,Agadir,
141,778,123,Les Enquetes d'Hercule Poirot,Policier,2023-05-03,2023-05-21,21,rendu,Rabat,1.9
142,572,712,Charlie et la Chocolaterie,Jeunesse,2025-06-17,,14,perdu,Meknes,
143,367,276,Odes,Poesie,2024-05-28,2024-06-01,7,rendu,Tanger,
144,502,389,Millenium - Tome 5,Policier,2026-03-06,2026-03-12,14,rendu,Oujda,4.3
145,568,329,Maigret,Policier,2023-05-22,2023-06-05,14,rendu,Tanger,
146,465,2,Harry Potter - Tome 5,Jeunesse,2026-07-30,2026-08-28,30,rendu,Casablanca,
147,373,490,Charlie et la Chocolaterie,Jeunesse,2024-10-18,2024-10-23,7,rendu,Meknes,3.7
148,785,1130,Introduction a Python,Informatique,2023-11-12,2023-12-03,21,rendu,Agadir,3.1
149,69,90,Le Journal d'un Gars,Jeunesse,2023-09-23,2023-09-27,14,rendu,Rabat,
150,102,66,Les Fleurs du Mal - Tome 4,Poesie,2026-03-15,2026-04-01,30,rendu,Tanger,1.9
151,736,146,Le Capital - Tome 4,Essai,2023-01-27,2023-02-10,14,rendu,Rabat,
152,655,125,Matilda - Tome 1,Jeunesse,2025-01-09,2025-02-04,30,rendu,Casablanca,
153,273,1084,Ainsi Parlait Zarathoustra - Tome 5,Essai,2023-03-25,2023-03-26,7,rendu,Fes,
154,100,208,La Planete des Singes - Tome 2,Science-Fiction,2024-04-18,2024-05-05,30,rendu,Fes,
155,184,1144,La Deuxieme Guerre Mondiale,Histoire,2026-02-17,2026-03-14,30,rendu,Agadir,
156,720,875,Leonard de Vinci,Biographie,2023-08-02,2023-08-11,14,rendu,Meknes,
157,674,324,Le Pragmatic Programmer,Informatique,2025-12-29,2026-01-27,30,rendu,Agadir,
158,333,762,Fahrenheit 451,Science-Fiction,2025-04-24,2025-05-05,30,rendu,Fes,
159,220,769,Fahrenheit 451,Science-Fiction,2026-01-31,2026-02-15,21,rendu,Oujda,
160,1,71,Histoire de l'Islam,Histoire,2024-08-05,2024-08-08,7,rendu,Casablanca,1.9
161,323,45,Le Monde de Narnia - Tome 1,Jeunesse,2024-07-19,2024-08-17,14,rendu_en_retard,Agadir,2.1
162,597,512,Les Schtroumpfs,BD,2024-04-22,2024-04-25,21,rendu,Meknes,
163,223,159,Le Capital,Essai,2024-10-26,2024-11-22,30,rendu,Rabat,
164,308,77,La Peste,Roman,2026-03-26,2026-04-27,30,rendu_en_retard,Agadir,4.3
165,427,247,Fahrenheit 451,Science-Fiction,2024-04-09,2024-04-15,7,rendu,Meknes,3.1
166,327,1106,Tintin,BD,2026-03-02,2026-03-14,14,rendu,Fes,3.7
167,403,913,Steve Jobs,Biographie,2026-05-03,2026-05-06,7,rendu,Meknes,2.3
168,488,1171,Illuminations,Poesie,2023-04-11,2023-04-24,30,rendu,Meknes,
169,134,277,Le Monde de Narnia,Jeunesse,2025-09-11,2025-09-22,14,rendu,Fes,
170,754,1074,Le Journal d'un Gars,Jeunesse,2024-05-19,2024-06-16,14,rendu_en_retard,Agadir,
171,590,184,Clean Code,Informatique,2023-08-19,2023-08-31,30,rendu,Fes,3.4
172,25,625,Nelson Mandela,Biographie,2023-12-13,2023-12-28,21,rendu,Marrakech,
173,240,409,Sapiens,Histoire,2025-02-04,2025-02-18,14,rendu,Rabat,1.2
174,636,303,Les Schtroumpfs,BD,2024-08-12,2024-08-19,7,rendu,Rabat,2.9
175,340,429,Le Cimetiere Marin,Poesie,2026-01-06,2026-01-15,14,rendu,Tanger,
176,638,290,Leonard de Vinci,Biographie,2023-02-07,2023-03-01,30,rendu,Casablanca,1.2
177,206,556,Les Enquetes d'Hercule Poirot,Policier,2023-04-19,2023-04-20,30,rendu,Rabat,2.1
178,676,738,Les Fleurs du Mal,Poesie,2023-08-09,2023-08-15,7,rendu,Meknes,2.5
179,727,204,Nelson Mandela - Tome 1,Biographie,2024-10-08,2024-10-26,30,rendu,Rabat,3.0
180,469,1149,Alcools - Tome 5,Poesie,2023-02-14,2023-02-19,7,rendu,Tanger,2.6
181,161,38,Einstein,Biographie,2024-12-11,2024-12-21,21,rendu,Fes,
182,514,565,Illuminations - Tome 2,Poesie,2023-05-07,2023-05-08,21,rendu,Tanger,2.4
183,403,282,Odes,Poesie,2023-06-29,2023-07-21,30,rendu,Fes,
184,587,313,Alcools,Poesie,2025-05-23,2025-06-03,21,rendu,Oujda,
185,212,284,Ibn Battuta,Biographie,2026-04-04,2026-04-09,14,rendu,Marrakech,
186,789,298,Steve Jobs - Tome 2,Biographie,2026-09-05,,14,en_cours,Rabat,
187,189,651,Clean Code,Informatique,2023-10-26,2023-10-30,7,rendu,Meknes,4.0
188,653,561,Leonard de Vinci - Tome 4,Biographie,2023-11-08,2023-11-28,14,rendu_en_retard,Casablanca,
189,627,547,Sapiens,Histoire,2026-05-25,2026-05-29,14,rendu,Casablanca,3.8
190,489,275,Alcools,Poesie,2025-10-25,2025-11-06,30,rendu,Marrakech,
191,504,971,Odes,Poesie,2023-10-09,2023-10-10,14,rendu,Meknes,
192,16,553,L'Empire Ottoman,Histoire,2025-04-25,2025-04-29,14,rendu,Fes,4.7
193,450,1004,Einstein,Biographie,2024-10-27,2024-11-10,30,rendu,Meknes,
194,623,780,Fondation,Science-Fiction,2024-10-02,2024-10-26,30,rendu,Casablanca,
195,463,936,Einstein - Tome 1,Biographie,2023-03-28,2023-04-04,14,rendu,Casablanca,
196,529,101,Les Schtroumpfs - Tome 5,BD,2024-01-24,2024-02-03,21,rendu,Tanger,
197,433,603,Illuminations - Tome 4,Poesie,2026-06-09,2026-06-11,7,rendu,Oujda,
198,463,186,Introduction a Python - Tome 5,Informatique,2025-10-22,2025-10-27,7,rendu,Marrakech,2.3
199,26,367,Le Petit Prince,Roman,2025-07-18,2025-07-20,14,rendu,Tanger,3.6
200,729,336,La Peste,Roman,2023-09-11,2023-10-03,7,rendu_en_retard,Agadir,3.8
201,745,1048,Le Monde de Narnia,Jeunesse,2026-06-07,2026-06-14,14,rendu,Casablanca,
202,344,1159,Madame Bovary - Tome 4,Roman,2026-09-12,,14,en_cours,Marrakech,
203,184,106,Tintin,BD,2025-05-09,2025-05-24,21,rendu,Tanger,
204,121,270,Une Histoire du Maroc,Histoire,2024-02-20,2024-02-23,7,rendu,Casablanca,
205,511,1114,Lucky Luke,BD,2023-01-12,2023-01-31,30,rendu,Oujda,
206,453,163,L'Art de la Guerre,Essai,2026-05-16,2026-05-21,7,rendu,Tanger,
207,571,426,Illuminations,Poesie,2023-04-11,2023-05-07,14,rendu_en_retard,Casablanca,1.1
208,592,612,Nelson Mandela,Biographie,2024-11-09,,7,perdu,Meknes,
209,183,331,Ibn Battuta,Biographie,2024-08-05,2024-08-17,14,rendu,Agadir,
210,96,613,Le Cimetiere Marin,Poesie,2024-10-23,2024-10-26,21,rendu,Meknes,
211,67,600,Discours de la Methode,Essai,2025-08-22,2025-09-14,14,rendu_en_retard,Agadir,
212,538,430,SQL pour les Nuls - Tome 1,Informatique,2024-03-04,2024-03-28,7,rendu_en_retard,Rabat,
213,706,589,Nelson Mandela,Biographie,2025-05-24,2025-06-12,21,rendu,Agadir,
214,630,1153,Le Capital - Tome 2,Essai,2025-10-13,2025-10-19,30,rendu,Fes,
215,199,4,Les Miserables - Tome 5,Roman,2023-08-31,2023-09-07,7,rendu,Rabat,
216,213,850,Odes,Poesie,2025-04-27,2025-05-02,7,rendu,Fes,1.8
217,289,522,Les Miserables - Tome 3,Roman,2023-05-19,2023-06-06,21,rendu,Agadir,
218,117,683,Ibn Battuta,Biographie,2024-11-30,2024-12-20,30,rendu,Casablanca,
219,199,677,Maigret,Policier,2024-11-23,2024-12-19,30,rendu,Casablanca,
220,494,319,Charlie et la Chocolaterie,Jeunesse,2026-07-08,2026-07-26,30,rendu,Agadir,
221,424,115,Sherlock Holmes,Policier,2025-12-03,2025-12-14,21,rendu,Casablanca,3.7
222,363,136,Alcools,Poesie,2023-11-02,2023-11-13,21,rendu,Meknes,
223,170,1170,Le Petit Prince,Roman,2026-05-25,2026-05-29,30,rendu,Tanger,
224,323,65,Alcools - Tome 3,Poesie,2024-07-10,2024-08-17,30,rendu_en_retard,Agadir,
225,310,443,Millenium,Policier,2025-12-11,2025-12-23,21,rendu,Casablanca,
226,95,909,Charlie et la Chocolaterie,Jeunesse,2025-11-02,2025-11-07,7,rendu,Marrakech,4.7
227,751,1073,Une Histoire du Maroc - Tome 4,Histoire,2024-09-27,2024-10-22,21,rendu_en_retard,Marrakech,1.1
228,397,1070,SQL pour les Nuls,Informatique,2023-08-26,2023-08-27,7,rendu,Rabat,4.6
229,106,1067,Alcools,Poesie,2026-09-11,,21,en_cours,Tanger,
230,655,430,SQL pour les Nuls - Tome 1,Informatique,2024-10-19,2024-10-24,14,rendu,Agadir,
231,688,241,Fahrenheit 451,Science-Fiction,2024-07-12,2024-07-14,14,rendu,Casablanca,
232,574,1053,Fondation - Tome 4,Science-Fiction,2023-07-29,2023-08-07,14,rendu,Agadir,4.8
233,291,1176,Discours de la Methode,Essai,2024-05-16,2024-06-19,14,rendu_en_retard,Agadir,
234,52,267,Le Journal d'un Gars - Tome 3,Jeunesse,2023-03-01,2023-03-03,30,rendu,Rabat,1.3
235,402,367,Le Petit Prince,Roman,2026-05-05,2026-05-15,30,rendu,Agadir,
236,731,1093,Blake et Mortimer,BD,2023-06-10,2023-06-13,30,rendu,Oujda,2.2
237,660,954,Alcools,Poesie,2025-08-21,2025-08-24,14,rendu,Tanger,
238,402,376,Ainsi Parlait Zarathoustra,Essai,2024-11-07,2024-11-08,21,rendu,Rabat,
239,360,981,1984,Science-Fiction,2025-08-02,2025-08-08,14,rendu,Marrakech,
240,416,220,Les Miserables,Roman,2024-10-29,2024-11-03,7,rendu,Oujda,
241,424,489,Einstein - Tome 5,Biographie,2026-06-25,2026-07-03,14,rendu,Meknes,1.8
242,711,883,Le Petit Prince - Tome 1,Roman,2025-06-10,2025-06-18,21,rendu,Marrakech,
243,80,1176,Discours de la Methode,Essai,2025-09-23,2025-09-27,7,rendu,Agadir,
244,456,361,Les Schtroumpfs - Tome 5,BD,2024-09-22,2024-10-26,30,rendu_en_retard,Meknes,3.6
245,63,186,Introduction a Python - Tome 5,Informatique,2024-03-21,2024-04-03,14,rendu,Casablanca,
246,677,306,Le Contrat Social,Essai,2025-07-16,2025-08-04,21,rendu,Oujda,3.7
247,325,614,Leonard de Vinci,Biographie,2026-03-13,2026-03-27,21,rendu,Agadir,
248,597,17,L'Art de la Guerre - Tome 2,Essai,2026-06-06,2026-07-04,30,rendu,Tanger,4.6
249,55,2,Harry Potter - Tome 5,Jeunesse,2026-02-20,2026-03-23,21,rendu_en_retard,Casablanca,3.8
250,404,652,Asterix,BD,2025-02-22,2025-03-12,30,rendu,Fes,
251,487,285,Alcools,Poesie,2024-01-21,2024-02-02,30,rendu,Meknes,5.0
252,687,258,Fahrenheit 451,Science-Fiction,2023-10-03,2023-10-11,7,rendu_en_retard,Marrakech,
253,499,895,Dune - Tome 1,Science-Fiction,2023-10-06,2023-10-27,7,rendu_en_retard,Oujda,
254,713,872,Le Capital,Essai,2026-06-30,2026-07-07,14,rendu,Oujda,1.9
255,435,16,Dune,Science-Fiction,2026-03-29,2026-04-06,30,rendu,Tanger,
256,560,1181,Discours de la Methode - Tome 5,Essai,2025-01-21,2025-01-26,7,rendu,Oujda,
257,116,1189,La Deuxieme Guerre Mondiale,Histoire,2025-09-13,2025-10-07,7,rendu_en_retard,Tanger,
258,81,1072,Sapiens,Histoire,2026-06-03,2026-06-09,7,rendu,Rabat,
259,553,1188,Tintin - Tome 1,BD,2024-10-01,2024-10-06,7,rendu,Casablanca,
260,525,961,Asterix - Tome 5,BD,2026-03-21,2026-03-31,21,rendu,Tanger,3.8
261,612,623,Odes,Poesie,2026-02-28,2026-04-06,21,rendu_en_retard,Marrakech,
262,673,598,Tintin,BD,2026-07-02,2026-07-03,7,rendu,Marrakech,
263,285,517,La Deuxieme Guerre Mondiale,Histoire,2023-09-29,2023-10-08,21,rendu,Casablanca,
264,619,358,Nelson Mandela - Tome 1,Biographie,2026-04-26,2026-05-02,14,rendu,Marrakech,3.8
265,497,371,SQL pour les Nuls,Informatique,2025-12-16,2025-12-17,7,rendu,Marrakech,
266,158,1016,Sherlock Holmes,Policier,2025-04-25,2025-05-10,30,rendu,Marrakech,3.9
267,354,112,Harry Potter - Tome 4,Jeunesse,2026-08-08,2026-08-12,21,rendu,Casablanca,2.6
268,309,976,Fahrenheit 451,Science-Fiction,2025-12-26,2026-01-07,14,rendu,Meknes,
269,149,1087,Data Engineering 101,Informatique,2025-06-09,2025-06-16,7,rendu,Oujda,2.3
270,543,85,Le Journal d'un Gars - Tome 3,Jeunesse,2023-07-19,2023-08-02,21,rendu,Tanger,2.1
271,101,523,Les Enquetes d'Hercule Poirot,Policier,2026-09-02,,30,en_cours,Fes,
272,752,400,La Planete des Singes - Tome 4,Science-Fiction,2025-11-30,2025-12-06,21,rendu,Agadir,
273,689,18,Millenium,Policier,2023-05-20,2023-05-25,7,rendu,Rabat,
274,360,450,Discours de la Methode - Tome 3,Essai,2024-08-03,2024-08-04,21,rendu,Rabat,3.4
275,223,250,Data Engineering 101 - Tome 3,Informatique,2023-09-03,2023-09-05,7,rendu,Meknes,
276,664,1160,Leonard de Vinci,Biographie,2024-01-14,2024-01-17,7,rendu,Tanger,
277,78,929,Les Miserables,Roman,2024-07-20,2024-08-11,30,rendu,Agadir,4.1
278,284,128,Le Nom de la Rose,Policier,2025-02-22,2025-02-24,30,rendu,Tanger,
279,272,365,SQL pour les Nuls - Tome 3,Informatique,2025-06-21,2025-06-23,7,rendu,Meknes,3.0
280,148,1108,Le Pragmatic Programmer,Informatique,2025-06-02,2025-06-04,14,rendu,Oujda,
281,106,72,Les Schtroumpfs,BD,2023-05-30,2023-06-02,7,rendu,Oujda,3.0
282,669,2,Harry Potter - Tome 5,Jeunesse,2023-03-19,2023-04-11,30,rendu,Agadir,
